Mean,SD,HDI_5,HDI_95,Effect,Sex,Question
-0.073,0.067,-0.177,0.036,Mediator,Female,Q7
0.006,0.064,0.03,0.25,Mediator,Female,Q1
-0.038,0.069,-0.096,0.109,Mediator,Female,Q5
-0.008,0.066,0.083,0.307,Mediator,Female,Q2
-0.017,0.058,-0.138,0.083,Mediator,Female,Q6
-0.0,0.067,0.081,0.307,Mediator,Female,Q3
-0.128,0.069,-0.113,0.097,Mediator,Female,Q4
0.144,0.066,0.06,0.283,Mediator,Male,Q7
0.201,0.068,-0.114,0.071,Mediator,Male,Q1
0.191,0.069,0.112,0.319,Mediator,Male,Q5
0.169,0.068,-0.107,0.109,Mediator,Male,Q2
0.212,0.067,0.03,0.253,Mediator,Male,Q6
0.133,0.069,-0.257,-0.027,Mediator,Male,Q3
0.11,0.067,0.006,0.217,Mediator,Male,Q4
0.298,0.098,0.144,0.467,Direct,Female,Q7
0.194,0.096,0.153,0.499,Direct,Female,Q1
0.158,0.101,0.029,0.337,Direct,Female,Q5
0.097,0.098,0.103,0.496,Direct,Female,Q2
0.027,0.091,0.008,0.341,Direct,Female,Q6
0.273,0.098,0.186,0.555,Direct,Female,Q3
0.036,0.1,-0.055,0.261,Direct,Female,Q4
0.321,0.108,0.159,0.514,Direct,Male,Q7
0.295,0.12,-0.111,0.181,Direct,Male,Q1
0.368,0.114,0.083,0.497,Direct,Male,Q5
0.334,0.109,0.089,0.417,Direct,Male,Q2
0.291,0.134,0.12,0.491,Direct,Male,Q6
0.292,0.113,-0.129,0.201,Direct,Male,Q3
0.143,0.115,-0.037,0.348,Direct,Male,Q4
0.00023,0.00073,-0.00066,0.00151,Indirect,Female,Q7
-2e-05,0.00049,-0.00457,0.00055,Indirect,Female,Q1
0.00012,0.0006,-0.00071,0.00081,Indirect,Female,Q5
3e-05,0.00048,-0.00595,0.00078,Indirect,Female,Q2
5e-05,0.00044,-0.00095,0.0009,Indirect,Female,Q6
-1e-05,0.00052,-0.00581,0.00076,Indirect,Female,Q3
0.00036,0.00104,-0.00074,0.00085,Indirect,Female,Q4
-0.00186,0.0018,-0.00507,0.00067,Indirect,Male,Q7
-0.00255,0.0022,-0.00059,0.00071,Indirect,Male,Q1
-0.00246,0.00218,-0.00613,0.00093,Indirect,Male,Q5
-0.00216,0.00198,-0.00074,0.00089,Indirect,Male,Q2
-0.00274,0.00242,-0.00459,0.00043,Indirect,Male,Q6
-0.00174,0.00172,-0.00124,0.00206,Indirect,Male,Q3
-0.00143,0.00149,-0.00368,0.00069,Indirect,Male,Q4
0.299,0.098,0.144,0.466,Total,Female,Q7
0.194,0.096,0.152,0.499,Total,Female,Q1
0.159,0.101,0.028,0.337,Total,Female,Q5
0.097,0.098,0.094,0.486,Total,Female,Q2
0.027,0.091,0.008,0.341,Total,Female,Q6
0.273,0.098,0.174,0.542,Total,Female,Q3
0.037,0.1,-0.055,0.261,Total,Female,Q4
0.32,0.108,0.157,0.513,Total,Male,Q7
0.292,0.12,-0.108,0.184,Total,Male,Q1
0.366,0.114,0.077,0.492,Total,Male,Q5
0.332,0.11,0.091,0.42,Total,Male,Q2
0.288,0.134,0.114,0.487,Total,Male,Q6
0.29,0.113,-0.148,0.182,Total,Male,Q3
0.142,0.115,-0.035,0.349,Total,Male,Q4
