Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S0,Female,Inc1,18-34,0.6353456852719608,0.011211589215957924,0.6175335462508262,0.6536724203906327
S1,Female,Inc1,18-34,0.24854324089527524,0.00992867304520573,0.2321937074548456,0.2645523585636985
S2,Female,Inc1,18-34,0.06807917644719391,0.005294381106111138,0.058806801977382625,0.07629001356795073
S3,Female,Inc1,18-34,0.048031897385570094,0.004298764335081099,0.04098860292951495,0.05502337496118201
S0,Male,Inc1,18-34,0.6062192985840723,0.012869543154841014,0.5853279387936969,0.6267867026809304
S1,Male,Inc1,18-34,0.27358878417678806,0.011699769120571786,0.25519155806637617,0.29349905630247225
S2,Male,Inc1,18-34,0.07115803049564957,0.006199122041450125,0.06096969501186599,0.08105100575232221
S3,Male,Inc1,18-34,0.04903388674348993,0.0049231939578875195,0.04060369771922843,0.05663754662997861
S0,Female,Inc2,18-34,0.706425611413656,0.011059707625740746,0.6885777188501091,0.7246173585748112
S1,Female,Inc2,18-34,0.21250721030383138,0.009181611641498505,0.1965953300890306,0.22708480142267676
S2,Female,Inc2,18-34,0.05116598853561156,0.00432715098093774,0.04474511035195077,0.05885541712957013
S3,Female,Inc2,18-34,0.029901189746900883,0.003049530471134509,0.024965023495696216,0.03494178631042892
S0,Male,Inc2,18-34,0.6745430980998451,0.010489684751104709,0.6561422593988313,0.6906976647315053
S1,Male,Inc2,18-34,0.22483742894634726,0.008813048171600809,0.20888680043513752,0.23825250917958413
S2,Male,Inc2,18-34,0.061792360907200174,0.004744233866487873,0.05391699584141973,0.06929404330912287
S3,Male,Inc2,18-34,0.03882711204660761,0.003617308264500365,0.0329565678928375,0.04478584452657426
S0,Female,Inc3,18-34,0.7313082332597073,0.010359835293484207,0.7134789426935457,0.7477623577236588
S1,Female,Inc3,18-34,0.19589288643003325,0.008896128131741187,0.18149909865531497,0.210702119863239
S2,Female,Inc3,18-34,0.04551012973757919,0.0041452039675523335,0.03863772088263434,0.05233103947483214
S3,Female,Inc3,18-34,0.02728875057268032,0.00315587549792738,0.022327145741757037,0.03248357384651419
S0,Male,Inc3,18-34,0.7261112268892419,0.009523866132268938,0.7090469963465963,0.7403751652333473
S1,Male,Inc3,18-34,0.1987804018075699,0.008055206113699552,0.186019064423316,0.21247233101107754
S2,Male,Inc3,18-34,0.046631249874253586,0.003666744439552922,0.04037511258821885,0.052518258518214456
S3,Male,Inc3,18-34,0.028477121428934587,0.0027876705056890045,0.023842943461275135,0.032835549824834706
S0,Female,Inc4,18-34,0.5944594283246631,0.009326076478256434,0.5782606850637744,0.6089061046708496
S1,Female,Inc4,18-34,0.2616273062483416,0.007872415177078302,0.24897340662571724,0.27423591386692303
S2,Female,Inc4,18-34,0.08272341638435746,0.004862971721355384,0.07467400718449535,0.09089399113319706
S3,Female,Inc4,18-34,0.06118984904263776,0.004373489719647676,0.05408993488112853,0.06839522663126793
S0,Male,Inc4,18-34,0.6540801017577087,0.007874662005817806,0.6412806573648177,0.6670736985401419
S1,Male,Inc4,18-34,0.2345677897108724,0.006930347252418679,0.222807721429278,0.24553535016761557
S2,Male,Inc4,18-34,0.06518783768751213,0.003933295854826373,0.058685062970912964,0.07173546417583175
S3,Male,Inc4,18-34,0.04616427084390679,0.0033958878709637553,0.04077981986812572,0.05183045089243353
S0,Female,Inc5,18-34,0.5212261001559039,0.01081645328586363,0.5035013880403034,0.5389819078702496
S1,Female,Inc5,18-34,0.29681052819151743,0.00810137936671055,0.2838653829832035,0.31021999358804747
S2,Female,Inc5,18-34,0.10396808349288177,0.006078568716656087,0.09422167337102043,0.11406353564454366
S3,Female,Inc5,18-34,0.07799528815969695,0.00571851799797756,0.06907841068990524,0.08757789443966717
S0,Male,Inc5,18-34,0.5452936075680157,0.008843584335821868,0.5309022101481057,0.5600524187087033
S1,Male,Inc5,18-34,0.2848427287567881,0.00755913310708986,0.2723960076094206,0.2973348902811893
