Wave,Gender,Threshold,Income,Posterior_Prob,95HDI,Observed,N
Wave1,Female,Minimal,Inc1,55.000,"[48.000, 61.000]",61.000,128
Wave1,Female,Minimal,Inc2,41.000,"[33.000, 48.000]",49.000,75
Wave1,Female,Minimal,Inc3,50.000,"[42.000, 58.000]",55.000,83
Wave1,Female,Minimal,Inc4,48.000,"[40.000, 55.000]",61.000,104
Wave1,Female,Minimal,Inc5,49.000,"[41.000, 58.000]",51.000,86
Wave1,Female,Mild,Inc1,37.000,"[30.000, 44.000]",23.000,128
Wave1,Female,Mild,Inc2,43.000,"[35.000, 52.000]",31.000,75
Wave1,Female,Mild,Inc3,39.000,"[31.000, 48.000]",22.000,83
Wave1,Female,Mild,Inc4,40.000,"[32.000, 48.000]",17.000,104
Wave1,Female,Mild,Inc5,40.000,"[31.000, 49.000]",26.000,86
Wave1,Female,Moderate,Inc1,8.000,"[5.000, 12.000]",7.000,128
Wave1,Female,Moderate,Inc2,15.000,"[9.000, 21.000]",7.000,75
Wave1,Female,Moderate,Inc3,10.000,"[6.000, 16.000]",14.000,83
Wave1,Female,Moderate,Inc4,12.000,"[7.000, 16.000]",13.000,104
Wave1,Female,Moderate,Inc5,10.000,"[6.000, 14.000]",19.000,86
Wave1,Female,Severe,Inc1,0.000,"[0.000, 2.000]",9.000,128
Wave1,Female,Severe,Inc2,1.000,"[0.000, 3.000]",13.000,75
Wave1,Female,Severe,Inc3,1.000,"[0.000, 2.000]",8.000,83
Wave1,Female,Severe,Inc4,1.000,"[0.000, 2.000]",9.000,104
Wave1,Female,Severe,Inc5,1.000,"[0.000, 2.000]",5.000,86
Wave1,Male,Minimal,Inc1,51.000,"[43.000, 60.000]",57.000,82
Wave1,Male,Minimal,Inc2,58.000,"[51.000, 65.000]",66.000,94
Wave1,Male,Minimal,Inc3,62.000,"[55.000, 69.000]",61.000,87
Wave1,Male,Minimal,Inc4,78.000,"[71.000, 85.000]",77.000,93
Wave1,Male,Minimal,Inc5,75.000,"[68.000, 81.000]",79.000,107
Wave1,Male,Mild,Inc1,38.000,"[29.000, 46.000]",18.000,82
Wave1,Male,Mild,Inc2,32.000,"[24.000, 39.000]",17.000,94
Wave1,Male,Mild,Inc3,30.000,"[23.000, 37.000]",22.000,87
