Gender,Income,m_0,90%HDI_0,m_1,90%HDI_1,m_2,90%HDI_2,m_3,90%HDI_3
Female,£0 - £300,0.44,"0.41, 0.47",0.3,"0.28, 0.31",0.15,"0.14, 0.17",0.11,"0.1, 0.13"
Female,£301 - £490,0.46,"0.43, 0.49",0.29,"0.27, 0.31",0.15,"0.13, 0.16",0.1,"0.09, 0.12"
Female,£491 - £740 ,0.54,"0.52, 0.57",0.27,"0.25, 0.28",0.12,"0.1, 0.13",0.08,"0.07, 0.09"
Female,"£741 - £1,111",0.59,"0.56, 0.62",0.25,"0.23, 0.27",0.1,"0.09, 0.11",0.06,"0.05, 0.07"
Female,"£1,112 or more",0.61,"0.58, 0.64",0.24,"0.22, 0.26",0.09,"0.08, 0.1",0.06,"0.05, 0.07"
Male,£0 - £300,0.5,"0.47, 0.54",0.28,"0.26, 0.3",0.13,"0.11, 0.15",0.09,"0.07, 0.1"
Male,£301 - £490,0.53,"0.5, 0.56",0.27,"0.25, 0.29",0.12,"0.11, 0.13",0.08,"0.07, 0.09"
Male,£491 - £740 ,0.62,"0.59, 0.65",0.23,"0.22, 0.25",0.09,"0.08, 0.1",0.06,"0.05, 0.06"
Male,"£741 - £1,111",0.66,"0.63, 0.69",0.21,"0.2, 0.23",0.08,"0.07, 0.09",0.05,"0.04, 0.05"
Male,"£1,112 or more",0.69,"0.66, 0.72",0.2,"0.18, 0.22",0.07,"0.06, 0.08",0.04,"0.04, 0.05"
