Gender,Income,m_0,90%HDI_0,m_1,90%HDI_1,m_2,90%HDI_2,m_3,90%HDI_3
Female,£0 - £300,0.57,"0.52, 0.62",0.26,"0.23, 0.29",0.09,"0.07, 0.12",0.08,"0.06, 0.1"
Female,£301 - £490,0.56,"0.51, 0.6",0.26,"0.23, 0.3",0.1,"0.08, 0.12",0.08,"0.06, 0.1"
Female,£491 - £740 ,0.61,"0.56, 0.66",0.24,"0.21, 0.27",0.09,"0.07, 0.11",0.07,"0.05, 0.09"
Female,"£741 - £1,111",0.69,"0.64, 0.74",0.2,"0.17, 0.23",0.06,"0.05, 0.08",0.05,"0.03, 0.06"
Female,"£1,112 or more",0.68,"0.63, 0.74",0.21,"0.17, 0.24",0.06,"0.05, 0.08",0.05,"0.03, 0.06"
Male,£0 - £300,0.57,"0.52, 0.62",0.26,"0.23, 0.29",0.1,"0.07, 0.12",0.08,"0.06, 0.1"
Male,£301 - £490,0.63,"0.58, 0.68",0.23,"0.2, 0.26",0.08,"0.06, 0.1",0.06,"0.04, 0.08"
Male,£491 - £740 ,0.69,"0.65, 0.74",0.2,"0.17, 0.23",0.06,"0.04, 0.08",0.04,"0.03, 0.06"
Male,"£741 - £1,111",0.79,"0.75, 0.83",0.14,"0.12, 0.17",0.04,"0.03, 0.05",0.03,"0.02, 0.04"
Male,"£1,112 or more",0.78,"0.74, 0.83",0.15,"0.12, 0.18",0.04,"0.03, 0.05",0.03,"0.02, 0.04"
