Mean,SD,HDI_5,HDI_95,Effect,Sex,Question
-0.033,0.06,-0.127,0.07,Mediator,Female,Q1
-0.092,0.067,0.013,0.216,Mediator,Female,Q8
-0.027,0.062,-0.207,0.014,Mediator,Female,Q9
0.03,0.061,0.115,0.318,Mediator,Female,Q2
-0.048,0.06,-0.124,0.07,Mediator,Female,Q3
0.073,0.046,-0.126,0.092,Mediator,Female,Q4
-0.034,0.054,-0.065,0.132,Mediator,Female,Q5
-0.01,0.03,-0.051,0.169,Mediator,Female,Q6
0.033,0.027,-0.138,0.055,Mediator,Female,Q7
0.122,0.063,0.021,0.194,Mediator,Male,Q1
0.209,0.063,0.006,0.15,Mediator,Male,Q8
-0.016,0.066,0.061,0.242,Mediator,Male,Q9
0.058,0.067,-0.121,0.059,Mediator,Male,Q2
0.105,0.053,0.091,0.294,Mediator,Male,Q3
0.155,0.057,-0.061,0.028,Mediator,Male,Q4
0.185,0.064,0.009,0.116,Mediator,Male,Q5
0.064,0.037,-0.004,0.079,Mediator,Male,Q6
0.11,0.049,0.039,0.183,Mediator,Male,Q7
0.176,0.098,0.004,0.328,Direct,Female,Q1
0.054,0.099,0.011,0.394,Direct,Female,Q8
-0.109,0.1,-0.128,0.202,Direct,Female,Q9
0.14,0.097,0.09,0.467,Direct,Female,Q2
0.284,0.107,-0.268,0.049,Direct,Female,Q3
0.28,0.115,-0.218,0.148,Direct,Female,Q4
0.114,0.095,-0.03,0.288,Direct,Female,Q5
0.068,0.069,-0.064,0.295,Direct,Female,Q6
0.112,0.09,0.12,0.463,Direct,Female,Q7
0.19,0.117,-0.064,0.214,Direct,Male,Q1
0.286,0.116,0.093,0.452,Direct,Male,Q8
-0.033,0.114,0.028,0.367,Direct,Male,Q9
0.134,0.109,-0.033,0.271,Direct,Male,Q2
0.069,0.088,0.052,0.423,Direct,Male,Q3
0.197,0.112,-0.026,0.17,Direct,Male,Q4
0.239,0.119,0.001,0.272,Direct,Male,Q5
0.124,0.1,0.009,0.237,Direct,Male,Q6
0.095,0.088,-0.008,0.218,Direct,Male,Q7
9e-05,0.00041,-0.00051,0.00073,Indirect,Female,Q1
0.00025,0.00065,-0.00389,0.0004,Indirect,Female,Q8
8e-05,0.00042,-0.00064,0.00135,Indirect,Female,Q9
-7e-05,0.00041,-0.00566,0.00053,Indirect,Female,Q2
0.00013,0.00046,-0.00043,0.00085,Indirect,Female,Q3
-0.00019,0.00046,-0.00148,0.00178,Indirect,Female,Q4
0.0001,0.00038,-0.00074,0.00054,Indirect,Female,Q5
4e-05,0.0002,-0.0026,0.00079,Indirect,Female,Q6
-0.0001,0.00025,-0.0005,0.00089,Indirect,Female,Q7
-0.00155,0.0015,-0.00319,0.00024,Indirect,Male,Q1
-0.00263,0.00209,-0.00091,0.00061,Indirect,Male,Q8
0.00018,0.00103,-0.00462,-2e-05,Indirect,Male,Q9
-0.00073,0.00115,-0.00038,0.00071,Indirect,Male,Q2
-0.00132,0.00121,-0.00536,9e-05,Indirect,Male,Q3
-0.00193,0.00158,-0.00019,0.00031,Indirect,Male,Q4
-0.00232,0.00189,-0.00201,0.00014,Indirect,Male,Q5
-0.0008,0.00077,-0.00042,0.00033,Indirect,Male,Q6
-0.00136,0.00118,-0.00326,8e-05,Indirect,Male,Q7
0.176,0.098,0.003,0.329,Total,Female,Q1
0.054,0.099,0.008,0.392,Total,Female,Q8
-0.109,0.1,-0.119,0.211,Total,Female,Q9
0.14,0.097,0.096,0.471,Total,Female,Q2
0.285,0.107,-0.268,0.05,Total,Female,Q3
0.279,0.115,-0.219,0.148,Total,Female,Q4
0.114,0.096,-0.03,0.288,Total,Female,Q5
0.068,0.069,-0.063,0.294,Total,Female,Q6
0.112,0.09,0.112,0.457,Total,Female,Q7
0.188,0.117,-0.07,0.209,Total,Male,Q1
0.283,0.116,0.092,0.451,Total,Male,Q8
-0.033,0.114,0.026,0.366,Total,Male,Q9
0.133,0.11,-0.033,0.272,Total,Male,Q2
0.067,0.088,0.049,0.421,Total,Male,Q3
0.195,0.112,-0.026,0.17,Total,Male,Q4
0.236,0.118,0.002,0.273,Total,Male,Q5
0.123,0.1,0.009,0.238,Total,Male,Q6
0.094,0.088,-0.007,0.219,Total,Male,Q7
