Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S0,Female,Inc1,18-34,0.7613191454952191,0.006881198212612255,0.7497242355539555,0.7726637674798218
S1,Female,Inc1,18-34,0.16202535060793793,0.005945468244902758,0.15225842790627214,0.17205754596198533
S2,Female,Inc1,18-34,0.05313297272086029,0.0033592240944319983,0.04759107740780087,0.058592845040558485
S3,Female,Inc1,18-34,0.023522531175982735,0.002163862594206937,0.019986774484575715,0.02699464987617595
S0,Male,Inc1,18-34,0.7504993542323639,0.008261191547478806,0.736853334863399,0.7642947617688814
S1,Male,Inc1,18-34,0.16794644608950565,0.006939398296437195,0.15622517625563817,0.17887010981645557
S2,Male,Inc1,18-34,0.05647659324996219,0.003932766098155791,0.05011664070927766,0.0629319919792181
S3,Male,Inc1,18-34,0.0250776064281683,0.0025670595679023623,0.020897667650994572,0.029134166964372744
S0,Female,Inc2,18-34,0.691815186160356,0.00898356722191139,0.677224581907161,0.7064701418127979
S1,Female,Inc2,18-34,0.20616039410355969,0.007566419297799634,0.19305401674800424,0.21822897619636927
S2,Female,Inc2,18-34,0.06359906029882266,0.003987769096295202,0.05750345771411881,0.07049733449164738
S3,Female,Inc2,18-34,0.03842535943726171,0.0028979898817308083,0.03371454108458081,0.04309054757682922
S0,Male,Inc2,18-34,0.6977827455528768,0.00659590757228545,0.6871279415025258,0.7087770172749639
S1,Male,Inc2,18-34,0.19168587646383334,0.005803422114264471,0.18165107974216674,0.2009020716025918
S2,Male,Inc2,18-34,0.06735257605619989,0.003612962013419921,0.06162236681142485,0.07331830594247866
S3,Male,Inc2,18-34,0.04317880192709007,0.0028265349466240638,0.038366929397975,0.04751606889663195
S0,Female,Inc3,18-34,0.7301898602861453,0.007582709222333737,0.7185663207960701,0.743142214152907
S1,Female,Inc3,18-34,0.1744824550070607,0.006372688473556377,0.16401453120064444,0.18511636695511355
S2,Female,Inc3,18-34,0.06126311838505793,0.0036981029453185222,0.05499432390691498,0.06711788286959372
S3,Female,Inc3,18-34,0.03406456632173609,0.002700419963953613,0.029386821972538058,0.03823126409109392
S0,Male,Inc3,18-34,0.7255792396637358,0.007062587208410791,0.7146845669907198,0.7377754591713768
S1,Male,Inc3,18-34,0.17256567313062068,0.00613622955081891,0.1624305008687366,0.18268223148001025
S2,Male,Inc3,18-34,0.06390492880099005,0.003715979004054045,0.05812478920359445,0.07009097272675878
S3,Male,Inc3,18-34,0.03795015840465335,0.0028365802049704586,0.03319001464837384,0.04247643412995494
S0,Female,Inc4,18-34,0.6388579891198141,0.006677160887626796,0.6276763491903655,0.6496529594434362
S1,Female,Inc4,18-34,0.21446016896948694,0.005999633518436595,0.2051298025884682,0.22490883837440423
S2,Female,Inc4,18-34,0.0885844983975596,0.004057374977121229,0.08237542111863692,0.09569207624974244
S3,Female,Inc4,18-34,0.05809734351313935,0.0034889077450208066,0.05220316386651386,0.06376496038849984
S0,Male,Inc4,18-34,0.6054215058277899,0.0063763165338183185,0.5948866724723757,0.6156158345745193
S1,Male,Inc4,18-34,0.23176773664771488,0.00585422890392552,0.22229233110739255,0.2414184952667564
S2,Male,Inc4,18-34,0.09752145148243772,0.004169050657542082,0.09063503937713141,0.10427399043624425
S3,Male,Inc4,18-34,0.06528930604205758,0.003506085840856143,0.0591175043996722,0.07054886568599336
S0,Female,Inc5,18-34,0.48630488692007134,0.0076377039050928314,0.4736394721710873,0.4986426204748377
S1,Female,Inc5,18-34,0.29501618231483306,0.006311204753159349,0.2847337646869057,0.30525595915439435
S2,Female,Inc5,18-34,0.13112897159933382,0.0052183563600730325,0.12317295284766083,0.14021023608735642
