Wave,Gender,Threshold,Income,Posterior_Prob,90HDI,Observed,N
Wave1,Female,None,Inc1,55.000,"[49.000, 61.000]",61.000,128
Wave1,Female,None,Inc2,46.000,"[39.000, 53.000]",53.000,75
Wave1,Female,None,Inc3,57.000,"[51.000, 64.000]",65.000,83
Wave1,Female,None,Inc4,59.000,"[52.000, 65.000]",62.000,104
Wave1,Female,None,Inc5,60.000,"[52.000, 69.000]",67.000,86
Wave1,Female,Mild,Inc1,34.000,"[28.000, 41.000]",23.000,128
Wave1,Female,Mild,Inc2,38.000,"[29.000, 47.000]",23.000,75
Wave1,Female,Mild,Inc3,32.000,"[24.000, 40.000]",18.000,83
Wave1,Female,Mild,Inc4,32.000,"[25.000, 38.000]",25.000,104
Wave1,Female,Mild,Inc5,30.000,"[22.000, 38.000]",20.000,86
Wave1,Female,Moderate,Inc1,10.000,"[6.000, 14.000]",9.000,128
Wave1,Female,Moderate,Inc2,15.000,"[9.000, 21.000]",8.000,75
Wave1,Female,Moderate,Inc3,10.000,"[5.000, 14.000]",12.000,83
Wave1,Female,Moderate,Inc4,9.000,"[5.000, 13.000]",9.000,104
Wave1,Female,Moderate,Inc5,8.000,"[5.000, 13.000]",7.000,86
Wave1,Female,Mod-Severe,Inc1,1.000,"[0.000, 2.000]",7.000,128
Wave1,Female,Mod-Severe,Inc2,1.000,"[0.000, 4.000]",12.000,75
Wave1,Female,Mod-Severe,Inc3,1.000,"[0.000, 2.000]",0.000,83
Wave1,Female,Mod-Severe,Inc4,1.000,"[0.000, 2.000]",3.000,104
Wave1,Female,Mod-Severe,Inc5,1.000,"[0.000, 3.000]",2.000,86
Wave1,Female,Severe,Inc1,0.000,"[0.000, 0.000]",0.000,128
Wave1,Female,Severe,Inc2,0.000,"[0.000, 0.000]",4.000,75
Wave1,Female,Severe,Inc3,0.000,"[0.000, 0.000]",5.000,83
Wave1,Female,Severe,Inc4,0.000,"[0.000, 0.000]",1.000,104
Wave1,Female,Severe,Inc5,0.000,"[0.000, 0.000]",3.000,86
Wave1,Male,None,Inc1,51.000,"[44.000, 59.000]",59.000,82
Wave1,Male,None,Inc2,58.000,"[52.000, 65.000]",66.000,94
Wave1,Male,None,Inc3,65.000,"[59.000, 71.000]",68.000,87
Wave1,Male,None,Inc4,78.000,"[72.000, 84.000]",82.000,93
Wave1,Male,None,Inc5,76.000,"[69.000, 81.000]",82.000,107
Wave1,Male,Mild,Inc1,36.000,"[28.000, 44.000]",17.000,82
Wave1,Male,Mild,Inc2,29.000,"[22.000, 36.000]",17.000,94
Wave1,Male,Mild,Inc3,26.000,"[18.000, 33.000]",14.000,87
Wave1,Male,Mild,Inc4,19.000,"[13.000, 25.000]",9.000,93
Wave1,Male,Mild,Inc5,22.000,"[16.000, 28.000]",12.000,107
Wave1,Male,Moderate,Inc1,12.000,"[6.000, 17.000]",13.000,82
Wave1,Male,Moderate,Inc2,11.000,"[6.000, 16.000]",6.000,94
Wave1,Male,Moderate,Inc3,8.000,"[5.000, 13.000]",9.000,87
Wave1,Male,Moderate,Inc4,3.000,"[1.000, 6.000]",4.000,93
Wave1,Male,Moderate,Inc5,3.000,"[1.000, 6.000]",3.000,107
Wave1,Male,Mod-Severe,Inc1,1.000,"[0.000, 4.000]",6.000,82
