,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_e1_med_log__,-0.89,0.266,-1.307,-0.449,0.004,0.003,4796.0,5132.0,1.0
e1_med_raw[White British/Irish],-1.331,0.599,-2.294,-0.339,0.006,0.005,8824.0,6249.0,1.0
e1_med_raw[African],2.339,0.661,1.216,3.374,0.007,0.005,8102.0,6449.0,1.0
e1_med_raw[Pakistani],-0.266,0.789,-1.572,1.014,0.007,0.01,11056.0,5387.0,1.0
e1_med_raw[White non-British/Irish],0.67,0.609,-0.383,1.612,0.007,0.006,8479.0,6012.0,1.0
e1_med_raw[Other Asian],-0.214,0.442,-0.933,0.506,0.006,0.004,6161.0,6140.0,1.0
e1_med_raw[Other ethnic group. Please specify],-0.547,0.7,-1.724,0.579,0.007,0.007,10116.0,5788.0,1.0
e1_med_raw[Indian],-0.381,0.568,-1.363,0.52,0.006,0.006,8202.0,5628.0,1.0
e1_med_raw[Bangladeshi],0.27,0.372,-0.346,0.862,0.006,0.005,4443.0,4566.0,1.0
e1_med_raw[Chinese],-0.032,0.416,-0.702,0.656,0.006,0.004,5501.0,5751.0,1.0
e1_med_raw[Afro-Caribbean],-0.695,0.474,-1.445,0.103,0.006,0.004,6115.0,5708.0,1.0
sigma_e2_med_log__,-0.25,0.142,-0.475,-0.003,0.002,0.002,4202.0,4454.0,1.0
e2_med_raw[Undergraduate degree],-3.176,0.566,-4.075,-2.231,0.01,0.007,2922.0,4181.0,1.0
e2_med_raw[No Qualifications],-0.53,0.357,-1.133,0.043,0.008,0.006,1783.0,2937.0,1.0
e2_med_raw[O-level / GCSE or similar],0.223,0.351,-0.345,0.808,0.008,0.006,1713.0,2586.0,1.0
e2_med_raw[Technical qualification],0.187,0.353,-0.394,0.761,0.009,0.006,1700.0,2771.0,1.0
e2_med_raw[A-level or similar],0.872,0.371,0.285,1.509,0.009,0.006,1740.0,2644.0,1.0
e2_med_raw[Postgraduate degree],0.062,0.363,-0.512,0.678,0.009,0.006,1827.0,3007.0,1.0
e2_med_raw[Diploma],1.926,0.446,1.23,2.698,0.01,0.007,2087.0,2947.0,1.0
sigma_e1_out_log__,-0.527,0.217,-0.868,-0.168,0.003,0.002,4868.0,5346.0,1.0
e1_out_raw[White British/Irish],-0.707,0.528,-1.583,0.139,0.007,0.005,5789.0,5258.0,1.0
e1_out_raw[African],-0.924,0.598,-1.906,0.044,0.007,0.006,7954.0,5600.0,1.0
e1_out_raw[Pakistani],1.906,0.644,0.8,2.91,0.007,0.005,9176.0,5282.0,1.0
e1_out_raw[White non-British/Irish],1.372,0.462,0.61,2.127,0.005,0.004,7167.0,6043.0,1.0
e1_out_raw[Other Asian],0.615,0.358,0.041,1.205,0.005,0.004,4970.0,5752.0,1.0
e1_out_raw[Other ethnic group. Please specify],-1.768,0.676,-2.845,-0.652,0.007,0.006,9289.0,5694.0,1.0
e1_out_raw[Indian],0.926,0.463,0.173,1.702,0.005,0.004,7168.0,5775.0,1.0
e1_out_raw[Bangladeshi],0.091,0.296,-0.361,0.598,0.005,0.004,3151.0,4324.0,1.0
e1_out_raw[Chinese],0.762,0.335,0.202,1.294,0.005,0.003,4580.0,6693.0,1.0
e1_out_raw[Afro-Caribbean],0.977,0.373,0.378,1.587,0.005,0.004,5321.0,5734.0,1.0
sigma_e2_out_log__,-1.601,0.414,-2.216,-0.916,0.008,0.006,2572.0,3381.0,1.0
e2_out_raw[Undergraduate degree],-1.218,0.668,-2.316,-0.14,0.008,0.006,7010.0,6285.0,1.0
e2_out_raw[No Qualifications],0.07,0.467,-0.657,0.854,0.006,0.005,6834.0,6043.0,1.0
e2_out_raw[O-level / GCSE or similar],0.723,0.474,-0.101,1.43,0.006,0.004,6976.0,5175.0,1.0
e2_out_raw[Technical qualification],-0.081,0.507,-0.921,0.72,0.006,0.006,6797.0,5823.0,1.0
e2_out_raw[A-level or similar],0.044,0.455,-0.647,0.84,0.006,0.005,6346.0,5914.0,1.0
e2_out_raw[Postgraduate degree],1.7,0.623,0.679,2.698,0.007,0.005,8334.0,6785.0,1.0
e2_out_raw[Diploma],-0.058,0.499,-0.852,0.759,0.006,0.005,6241.0,5824.0,1.0
alpha_1[Female],-0.291,0.367,-0.944,0.266,0.009,0.006,1770.0,2506.0,1.0
alpha_1[Male],-0.145,0.366,-0.777,0.426,0.009,0.006,1765.0,2512.0,1.0
"alpha_2[Female, Dep_1]",0.522,0.339,-0.058,1.057,0.005,0.003,5039.0,5470.0,1.0
"alpha_2[Female, Dep_2]",0.481,0.342,-0.064,1.05,0.005,0.004,4836.0,5385.0,1.0
"alpha_2[Female, Dep_3]",0.961,0.333,0.406,1.506,0.005,0.003,4746.0,5558.0,1.0
"alpha_2[Female, Dep_4]",1.026,0.336,0.473,1.574,0.005,0.003,4937.0,5465.0,1.0
"alpha_2[Female, Dep_5]",0.343,0.342,-0.226,0.889,0.005,0.003,5448.0,5645.0,1.0
"alpha_2[Female, Dep_6]",0.117,0.347,-0.466,0.678,0.005,0.004,5054.0,5055.0,1.0
"alpha_2[Female, Dep_7]",0.149,0.339,-0.426,0.69,0.005,0.004,5375.0,5712.0,1.0
