Gender,Income,m_0,90%HDI_0,m_1,90%HDI_1,m_2,90%HDI_2,m_3,90%HDI_3
Female,Inc1,0.57,"0.52, 0.62",0.25,"0.21, 0.28",0.11,"0.09, 0.14",0.07,"0.05, 0.09"
Female,Inc2,0.57,"0.51, 0.62",0.24,"0.21, 0.28",0.11,"0.09, 0.14",0.07,"0.05, 0.09"
Female,Inc3,0.64,"0.59, 0.69",0.22,"0.18, 0.25",0.09,"0.07, 0.11",0.05,"0.04, 0.07"
Female,Inc4,0.7,"0.65, 0.74",0.19,"0.16, 0.22",0.07,"0.05, 0.09",0.04,"0.03, 0.05"
Female,Inc5,0.7,"0.65, 0.75",0.19,"0.16, 0.22",0.07,"0.05, 0.09",0.04,"0.03, 0.05"
Male,Inc1,0.58,"0.53, 0.64",0.24,"0.21, 0.28",0.11,"0.08, 0.13",0.07,"0.04, 0.09"
Male,Inc2,0.64,"0.59, 0.69",0.22,"0.19, 0.25",0.09,"0.07, 0.11",0.05,"0.03, 0.07"
Male,Inc3,0.71,"0.66, 0.76",0.18,"0.15, 0.22",0.07,"0.05, 0.09",0.04,"0.03, 0.05"
Male,Inc4,0.76,"0.72, 0.8",0.16,"0.13, 0.19",0.05,"0.04, 0.07",0.03,"0.02, 0.04"
Male,Inc5,0.76,"0.72, 0.8",0.16,"0.13, 0.19",0.05,"0.04, 0.07",0.03,"0.02, 0.04"
